"No.","Time","Source","Destination","Protocol","Length","Info"
"806","-1425834652.837325","10.11.2.6","ssl-google-analytics.l.google.com","TCP","52","43481  >  443 [ACK] Seq=1 Ack=1 Win=81600 Len=0 TSval=79327902 TSecr=2515804222"
"807","-1425834652.825919","dns.google","10.11.2.6","DNS","118","Standard query response 0x1e06 AAAA oth.str.mdt.qq.com SOA ns-tel1.qq.com"
"808","-1425834652.807751","10.11.2.6","dns.google","DNS","57","Standard query 0x77b6 AAAA ysdk.qq.com"
"809","-1425834652.768374","10.11.2.6","ssl-google-analytics.l.google.com","TLSv1.2","242","Client Hello"
"810","-1425834652.768330","ssl-google-analytics.l.google.com","10.11.2.6","TCP","52","443  >  43481 [ACK] Seq=1 Ack=191 Win=30080 Len=0 TSval=2515804262 TSecr=79327909"
"811","-1425834652.735509","10.11.2.6","dns.google","DNS","64","Standard query 0x39a1 A oth.str.mdt.qq.com"
"812","-1425834652.734439","ssl-google-analytics.l.google.com","10.11.2.6","TLSv1.2","1400","Server Hello"
"813","-1425834652.734409","ssl-google-analytics.l.google.com","10.11.2.6","TLSv1.2","1008","Certificate, Server Key Exchange, Server Hello Done"
"814","-1425834652.649011","10.11.2.6","ssl-google-analytics.l.google.com","TCP","52","43481  >  443 [ACK] Seq=191 Ack=1349 Win=84352 Len=0 TSval=79327921 TSecr=2515804270"
"815","-1425834652.649002","10.11.2.6","ssl-google-analytics.l.google.com","TCP","52","43481  >  443 [ACK] Seq=191 Ack=2305 Win=87040 Len=0 TSval=79327921 TSecr=2515804270"
"816","-1425834652.624553","10.11.2.6","dns.google","DNS","59","Standard query 0x6f74 AAAA rqd.uu.qq.com"
"817","-1425834652.580013","dns.google","10.11.2.6","DNS","107","Standard query response 0x77b6 AAAA ysdk.qq.com SOA ns1.qq.com"
"818","-1425834652.508652","dns.google","10.11.2.6","DNS","115","Standard query response 0x39a1 A oth.str.mdt.qq.com CNAME game.str.mdt.qq.com A 183.57.48.33 A 183.61.49.155"
"819","-1425834652.492994","10.11.2.6","dns.google","DNS","57","Standard query 0x5294 A ysdk.qq.com"
"820","-1425834652.492982","10.11.2.6","ssl-google-analytics.l.google.com","TLSv1.2","178","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"821","-1425834652.492585","ssl-google-analytics.l.google.com","10.11.2.6","TLSv1.2","294","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"822","-1425834652.417621","dns.google","10.11.2.6","DNS","105","Standard query response 0x6f74 AAAA rqd.uu.qq.com SOA qq.com"
"823","-1425834652.416371","10.11.2.6","game.str.mdt.qq.com","TCP","60","48733  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=79327945 TSecr=0 WS=64"
"824","-1425834652.406195","10.11.2.6","ssl-google-analytics.l.google.com","TLSv1.2","628","Application Data"
"825","-1425834652.384436","ssl-google-analytics.l.google.com","10.11.2.6","TLSv1.2","438","Application Data"
"826","-1230783007.823164","10.11.2.6","dns.google","DNS","61","Standard query 0xd734 AAAA api.exc.mob.com"
"827","-1230783007.742697","dns.google","10.11.2.6","DNS","134","Standard query response 0xd734 AAAA api.exc.mob.com SOA ns3.dnsv5.com"
"828","-1230783007.735415","10.11.2.6","dns.google","DNS","63","Standard query 0x809d AAAA api.share.mob.com"
"829","-1230783007.678255","10.11.2.6","dns.google","DNS","57","Standard query 0xb499 AAAA api.8531.cn"
"830","-1230783007.656901","10.11.2.6","dns.google","DNS","61","Standard query 0x812d A api.exc.mob.com"
"831","-1230783007.576207","dns.google","10.11.2.6","DNS","77","Standard query response 0x812d A api.exc.mob.com A 117.149.38.103"
"832","-1230783007.497881","dns.google","10.11.2.6","DNS","136","Standard query response 0x809d AAAA api.share.mob.com SOA ns3.dnsv5.com"
"833","-1230783007.485656","10.11.2.6","api.exc.mob.com","TCP","60","49065  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=13219110 TSecr=0 WS=64"
"834","-1230783007.485565","api.exc.mob.com","10.11.2.6","TCP","60","80  >  49065 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2274228610 TSecr=13219110 WS=128"
"835","-1230783007.409729","dns.google","10.11.2.6","DNS","85","Standard query response 0xb499 AAAA api.8531.cn AAAA 2600:1f1c:837:3601:479c:67cb:82d3:83b"
"836","-1230783007.408988","10.11.2.6","dns.google","DNS","63","Standard query 0xb487 A api.share.mob.com"
"837","-1230783007.400005","10.11.2.6","api.exc.mob.com","TCP","52","49065  >  80 [ACK] Seq=1 Ack=1 Win=81600 Len=0 TSval=13219119 TSecr=2274228610"
"838","-1230783007.397890","10.11.2.6","api.exc.mob.com","HTTP","366","POST /errconf HTTP/1.1  (application/x-www-form-urlencoded)"
"839","-1230783007.397808","api.exc.mob.com","10.11.2.6","TCP","52","80  >  49065 [ACK] Seq=1 Ack=315 Win=30080 Len=0 TSval=2274228632 TSecr=13219119"
"840","-1230778713.353261","10.11.2.6","dns.google","DNS","57","Standard query 0xdd67 A api.8531.cn"
"841","-1230778713.309638","10.11.2.6","dns.google","DNS","60","Standard query 0xb906 AAAA alog.umeng.com"
"842","-1230778713.307664","dns.google","10.11.2.6","DNS","140","Standard query response 0xb906 AAAA alog.umeng.com SOA hidden-master.aliyun.com"
"843","-1230778713.216640","10.11.2.6","dns.google","DNS","60","Standard query 0xeb86 A alog.umeng.com"
"844","-1230778713.214974","dns.google","10.11.2.6","DNS","124","Standard query response 0xeb86 A alog.umeng.com A 140.205.218.51 A 140.205.61.26 A 140.205.61.49 A 140.205.218.52"
"845","-1230778713.193373","dns.google","10.11.2.6","DNS","79","Standard query response 0xb487 A api.share.mob.com A 120.132.176.173"
"846","-1230778713.128045","10.11.2.6","alog.umeng.com","TCP","60","47624  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=13219149 TSecr=0 WS=64"
"847","-1230778713.127967","alog.umeng.com","10.11.2.6","TCP","60","80  >  47624 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2274228708 TSecr=13219149 WS=128"
"848","-1230778713.106062","10.11.2.6","api.share.mob.com","TCP","60","43205  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=13219151 TSecr=0 WS=64"
"849","-1230778713.105976","api.share.mob.com","10.11.2.6","TCP","60","80  >  43205 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2274228713 TSecr=13219151 WS=128"
"850","-1230778713.034677","10.11.2.6","alog.umeng.com","TCP","52","47624  >  80 [ACK] Seq=1 Ack=1 Win=81600 Len=0 TSval=13219158 TSecr=2274228708"
"851","-1243564830.823229","10.11.2.6","203.205.151.240","TCP","52","56760  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1334 Len=0 TSval=12921449 TSecr=2273435242"
"852","-1243564830.823210","10.11.2.6","203.205.151.240","TCP","52","38310  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1629 Len=0 TSval=12921449 TSecr=2273435245"
"853","-1243564830.790576","10.11.2.6","163.177.83.171","TCP","52","50339  >  8080 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1275 Len=0 TSval=12921453 TSecr=1691746364"
"854","-1243564830.482796","10.11.2.6","dns.google","DNS","60","Standard query 0x7c99 AAAA alog.umeng.com"
"855","-1243564830.480931","dns.google","10.11.2.6","DNS","140","Standard query response 0x7c99 AAAA alog.umeng.com SOA hidden-master.aliyun.com"
"856","-1243564830.388424","10.11.2.6","dns.google","DNS","60","Standard query 0x363b A alog.umeng.com"
"857","-1243564830.386737","dns.google","10.11.2.6","DNS","124","Standard query response 0x363b A alog.umeng.com A 140.205.61.26 A 140.205.218.52 A 140.205.218.51 A 140.205.61.49"
"858","-1243564830.295874","10.11.2.6","alog.umeng.com","TCP","60","51628  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=12921501 TSecr=0 WS=64"
"859","-1243564830.295817","alog.umeng.com","10.11.2.6","TCP","60","80  >  51628 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2273470357 TSecr=12921501 WS=128"
"860","-1243564830.209566","10.11.2.6","alog.umeng.com","TCP","52","51628  >  80 [ACK] Seq=1 Ack=1 Win=81600 Len=0 TSval=12921509 TSecr=2273470357"
"861","-1243564830.206744","10.11.2.6","alog.umeng.com","TCP","1400","51628  >  80 [ACK] Seq=1 Ack=1 Win=81600 Len=1348 TSval=12921509 TSecr=2273470357 [TCP segment of a reassembled PDU]"
"862","-1243564830.206691","alog.umeng.com","10.11.2.6","TCP","52","80  >  51628 [ACK] Seq=1 Ack=1349 Win=31872 Len=0 TSval=2273470379 TSecr=12921509"
"863","-1243564830.204441","10.11.2.6","alog.umeng.com","HTTP","452","POST /app_logs HTTP/1.1  (envelope/json)"
"864","-1243564830.204404","alog.umeng.com","10.11.2.6","TCP","52","80  >  51628 [ACK] Seq=1 Ack=1749 Win=34560 Len=0 TSval=2273470380 TSecr=12921510"
"865","-1243564830.033710","10.11.2.6","dns.google","DNS","60","Standard query 0x62a2 AAAA log.snssdk.com"
"866","-1243560535.618827","10.11.2.6","inews.qq.com","TCP","52","43083  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=2488 Len=0 TSval=12921570 TSecr=2273376469"
"867","-1243560535.618815","10.11.2.6","inews.qq.com","TCP","52","37324  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1764 Len=0 TSval=12921570 TSecr=2273396313"
"868","-1243560535.617717","10.11.2.6","inews.qq.com","TCP","52","60748  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1966 Len=0 TSval=12921570 TSecr=2273416933"
"869","-1243560535.430166","10.11.2.6","203.205.151.240","TCP","52","[TCP Retransmission] 56760  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1334 Len=0 TSval=12921589 TSecr=2273435242"
"870","-1243560535.430157","10.11.2.6","203.205.151.240","TCP","52","[TCP Retransmission] 38310  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1629 Len=0 TSval=12921589 TSecr=2273435245"
"871","-1243560535.312882","10.11.2.6","inews.qq.com","TCP","52","54878  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1292 Len=0 TSval=12921600 TSecr=2273394868"
"872","-1243560535.256275","dns.google","10.11.2.6","DNS","193","Standard query response 0x62a2 AAAA log.snssdk.com CNAME log.snssdk.com.bytedns.net CNAME log.snssdk.com.w.kunlunhuf.com SOA ns3.kunlunhuf.com"
"873","-1243560535.254733","10.11.2.6","inews.qq.com","HTTP","984","GET /appEventNotice?isoem=0&mid=e541e4ca26c0bbac443f9105f308d5c13543d969&dpi=480&devid=352584062098238&is_chinamobile_oem=0&mac=2C%3A54%3ACF%3AFA%3A4F%3ACA&real_device_width=2.44&store=17&screen_height=1776&real_device_height=4.33&apptype=android&origin_imei=352584062098238&orig_store=17&hw=LGE_Nexus5&appver=23_android_5.4.30&uid=a3094bbfc1886275&screen_width=1080&sceneid=&Cookie=lskey%3D%3Bluin%3D%3Bskey%3D%3Buin%3D%3B%20logintype%3D0%3B%20main_login%3Dqq%3B%20&network_type=wifi&omgid=&global_info=&activefrom=icon&qqnetwork=wifi&rom_type=&imsi_history=0&omgbizid=&qn-sig=c1734055d7f79b48899c575e84f62492&qn-rid=07677e74-7c34-47d7-99f8-abde82292e1c&imsi=&eventCode=3 HTTP/1.1 "
"874","-1243560535.168465","10.11.2.6","dns.google","DNS","60","Standard query 0x70a8 A log.snssdk.com"
"875","-1243556240.978324","10.11.2.6","inews.qq.com","TCP","52","[TCP Retransmission] 54878  >  80 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1292 Len=0 TSval=12921636 TSecr=2273394868"
"876","-1206314579.184297","10.11.2.6","dns.google","DNS","57","Standard query 0xfd89 AAAA m.ctrip.com"
"877","-1206314579.172842","dns.google","10.11.2.6","DNS","222","Standard query response 0xfd89 AAAA m.ctrip.com CNAME m.ctrip.com.ctripgslb.com CNAME m.ctrip.com.edgekey.net CNAME e11963.a.akamaiedge.net SOA n0a.akamaiedge.net"
"878","-1206314579.108205","10.11.2.6","dns.google","DNS","65","Standard query 0xca83 AAAA adashx.m.taobao.com"
"879","-1206314579.095282","10.11.2.6","101.226.248.65","TCP","60","52346  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=13788775 TSecr=0 WS=64"
"880","-1206314579.095231","101.226.248.65","10.11.2.6","TCP","60","80  >  52346 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2275677294 TSecr=13788775 WS=128"
"881","-1206314579.088030","10.11.2.6","dns.google","DNS","57","Standard query 0xc382 A m.ctrip.com"
"882","-1206314579.077484","dns.google","10.11.2.6","DNS","180","Standard query response 0xc382 A m.ctrip.com CNAME m.ctrip.com.ctripgslb.com CNAME m.ctrip.com.edgekey.net CNAME e11963.a.akamaiedge.net A 23.218.220.106"
"883","-1206314579.067929","dns.google","10.11.2.6","DNS","161","Standard query response 0xca83 AAAA adashx.m.taobao.com CNAME adashx.m.taobao.com.gds.alibabadns.com SOA gdsns1.alibabadns.com"
"884","-1206314579.007500","10.11.2.6","101.226.248.65","TCP","52","52346  >  80 [ACK] Seq=1 Ack=1 Win=81600 Len=0 TSval=13788784 TSecr=2275677294"
"885","-1206314578.998439","10.11.2.6","101.226.248.65","TCP","183","52346  >  80 [PSH, ACK] Seq=1 Ack=1 Win=81600 Len=131 TSval=13788785 TSecr=2275677294"
"886","-1206314578.998402","101.226.248.65","10.11.2.6","TCP","52","80  >  52346 [ACK] Seq=1 Ack=132 Win=30080 Len=0 TSval=2275677318 TSecr=13788785"
"887","-1206314578.996394","101.226.248.65","10.11.2.6","TCP","170","80  >  52346 [PSH, ACK] Seq=1 Ack=132 Win=30080 Len=118 TSval=2275677319 TSecr=13788785 [TCP segment of a reassembled PDU]"
"888","-1206314578.994944","101.226.248.65","10.11.2.6","HTTP","1119","HTTP/1.1 400 Bad Request  (text/html)HTTP/1.1 502 Bad Gateway  (text/html)"
"889","-1206314578.994870","101.226.248.65","10.11.2.6","TCP","52","80  >  52346 [RST, ACK] Seq=1187 Ack=132 Win=30080 Len=0 TSval=2275677319 TSecr=13788785"
"890","-1206314578.992113","10.11.2.6","e11963.a.akamaiedge.net","TCP","60","48579  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=13788786 TSecr=0 WS=64"
"891","-1206314578.992059","e11963.a.akamaiedge.net","10.11.2.6","TCP","60","80  >  48579 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2275677320 TSecr=13788786 WS=128"
"892","-1206314578.984330","10.11.2.6","dns.google","DNS","65","Standard query 0xc980 A adashx.m.taobao.com"
"893","-1206314578.964814","dns.google","10.11.2.6","DNS","130","Standard query response 0xc980 A adashx.m.taobao.com CNAME adashx.m.taobao.com.gds.alibabadns.com A 140.205.36.30"
"894","-1206314578.952121","10.11.2.6","dns.google","DNS","59","Standard query 0x9bba AAAA s.c-ctrip.com"
"895","-1206314578.932239","dns.google","10.11.2.6","DNS","228","Standard query response 0x9bba AAAA s.c-ctrip.com CNAME s.c-ctrip.com.ctripgslb.com CNAME s.c-ctrip.com.edgekey.net CNAME e11963.a.akamaiedge.net SOA n0a.akamaiedge.net"
"896","-1206314578.912229","10.11.2.6","101.226.248.65","TCP","52","52346  >  80 [ACK] Seq=132 Ack=119 Win=81600 Len=0 TSval=13788794 TSecr=2275677319"
"897","-1206314578.912189","101.226.248.65","10.11.2.6","TCP","40","80  >  52346 [RST] Seq=119 Win=0 Len=0"
